istanbul, 15029231, 5461
izmir, 4320519, 7340
ankara, 4470800, 2516
berlin, 3748000, 891.8
hamburg, 5107429, 196
münih, 1456000, 310.4
london, 8900000, 1572
birmingham, 1086000, 600
washington, 7536000, 177
new york, 8623000, 783.8
madrid, 6550000, 10506
barcelona, 5515000, 101.4
paris, 2141000, 105.4
marseille, 1715096, 240.62
brussels, 1192000, 32.61
helsinki, 147000, 213.8
oslo, 673469, 454
reykjavík, 122853, 274.5
copenhagen, 1213822, 88.25
amsterdam, 821.752, 219.3
stockholm, 965232, 188
bern, 1031000, 51.62
zurich, 1830000, 87.88
luxembourg city, 119214, 2586
toronto, 5928000, 630.2
viana, 1889000, 2255
rio de janeiro, 6320000, 1255
athens, 3154152, 412
zagreb, 803900, 641
nicosia, 185000, 111
